序号,标题,BV号,AV号,UP主,UID,分区,时长,发布时间,播放量,点赞,收藏,弹幕,评论,标签,简介,封面
59,手写代码的程序员成非遗了❓「古法编程」突然火了❗️,BV1UzwDz1E6w,116243071835663,智冷Shaw,480800563,计算机技术,0:51,2026-03-17 14:22,12243,121,75,86,63,"万万没想到,AI,人工智能,编程,程序员,学习,高能,科普,分享我的专业知识,代码",“古法编程”这个词一出来，我先笑了。以前程序员不用AI写代码叫基本操作，现在居然成了“古法手艺”。照这趋势下去，未来程序员怕不是要进博物馆现场表演纯手搓代码了。你觉得，不靠AI写代码的人，以后会不会真成“非遗传承人”？关注智冷Shaw，AI时代走前头！,https://i1.hdslb.com/bfs/archive/dedb798ce2c9122234b899598e2262af3e525da5.jpg
60,在你看到这期视频之前，它，没有观众,BV1Nw4m1k7Mk,1106345646,南翔,596842980,手工,6:6,2024-08-14 16:50,15767244,917337,442020,17326,7673,"一起做手工吧16.0 手工暑期大作战,非遗,打铁花,我的整活手工大赏,非遗传承,炭花舞,七江炭花舞,火壶",-,https://i0.hdslb.com/bfs/archive/c3cc26fc610220badb0b446469ca0ecf63577451.jpg
61,每周质量报告 | 央视曝光假非遗乱象,BV1Upf9BVEut,116009952416434,央视网,222103174,日常,18:18,2026-02-04 10:20,30411,1851,309,51,81,非遗,,https://i2.hdslb.com/bfs/archive/34738e7584707de16910fa86679013ae30a45b8a.jpg
62,非遗植物拓染｜锤出三千年前的中国色,BV1wh72z8EXt,114611957272674,陈二十,22309487,日常,3:45,2025-06-02 17:00,606312,9965,17638,82,104,"非遗,我的手工真的很解压,传统文化,手工,植物拓染",周末如果不想聚会跟人社交，那就试试跟大自然产生链接，动手做一副属于自己独一无二的作品吧~,https://i2.hdslb.com/bfs/archive/cdf4bc1202ff41f59c71c6274c7a043cdc2171d4.jpg
63,【全程高能】中国各地的非遗年俗能有多震撼？直接看呆了！,BV1XywNeNEd3,113849181145296,司空离,358807,人文历史,7:16,2025-01-18 20:12,2901923,43884,29288,621,338,"2025克穷暴富,民俗,英歌舞,传统文化,年俗,打铁花,非遗",-,https://i2.hdslb.com/bfs/archive/07a04911a2dadb3b495f1beb71f181169a64b619.jpg
64,陈都灵四次非遗旗袍变装,BV1i1ZiB6E3G,116097378426485,可爱又迷人旳反派,3493079277373656,明星综合,4:13,2026-02-19 20:55,9081,202,328,5,17,"陈都灵,表演,美女",-,https://i2.hdslb.com/bfs/archive/b8060f153a8c411e26e498e997adf6661f015e7e.jpg
65,外网热评：中国非遗文化传承《傩戏》外国网友：精准的动作和传统文化的传承，很精彩,BV1WyckzjEd5,116215473242189,轩宝看油管,387967038,日常,1:36,2026-03-12 17:24,1067,12,5,0,0,"传统文化,中国,外网热评,中国非遗,外国网友评论,外网评论,评论翻译,外国人看中国,文化传承,非物质文化遗产",,https://i1.hdslb.com/bfs/archive/734cc883611d5be6e1ef3823234a16f1f8c2d334.jpg
66,中国文化输出赢麻了！国风舞惊艳全场，街头“非遗喷火”看懵老外,BV14fXVYxEV6,114182427116994,下饭音乐,11173348,乐评盘点,5:45,2025-03-18 16:18,196063,3377,875,253,56,"非遗文化,中国舞,文化输出",,https://i1.hdslb.com/bfs/archive/233a03d3aafc688e7c5bc9fe392337f875fc58ef.jpg
67,挑战戏神非遗大片 今天拍的是“傩戏”！,BV1uLByBvELm,115791680838243,-小胡同学呀,262240557,穿搭,2:45,2025-12-27 21:18,1729251,38471,60664,1453,357,"传统文化,冷不丁化妆挑战,胡有姬,葛仙村,戏神,傩戏,非遗,江西,非物质文化遗产,挑战",-,https://i2.hdslb.com/bfs/archive/084a84aa9c8c5dc3386443cd5993a8e3f35b684d.jpg
68,【纪录片】《中国手作》第一季 木作 第一集 榫卯智慧,BV1mk4y1c7M4,745848737,长安书院_,2147327022,人文历史,121:19,2023-09-09 17:26,166211,2479,12555,99,44,"历史,工匠,科普,人文,木作,榫卯,非遗,手作,纪录片,传统文化",如果觉得还不错，麻烦给个三连！谢谢~,https://i2.hdslb.com/bfs/archive/19f159e05c860021238a410bb02e3138deae4c61.png
69,外网看我国非遗文化变装转场！热评：文化自信在此刻具象化！ #非遗文化 #转场 #舞狮 #外国人看中国,BV1mWkzBtEho,115528446251640,星禾搞笑娱乐,1680121791,日常,1:36,2025-11-11 09:25,156077,2194,573,33,39,"中国风,制作,变装转场,B站辩论季！,歪果仁,传统文化,中国,文化",外网看我国非遗文化变装转场！热评：文化自信在此刻具象化！ #非遗文化 #转场 #舞狮 #外国人看中国,https://i0.hdslb.com/bfs/archive/2817e02809a8d3e33c7ece58178345d287ed3ea0.jpg
70,《针尖上的非遗》纪录片作品,BV1DTwezYEgC,116247752675641,爱学习美女罢了,491748066,影视剪辑,12:40,2026-03-18 10:15,13,0,0,0,0,"纪录片,文化,艺术,非遗",,https://i0.hdslb.com/bfs/archive/8a5752778faa90c0c173dbc419191bacfa40b9ad.jpg
71,江寻千：把100种非遗，拍成文艺复兴名场面,BV1nvceznEoG,116055401826217,环球人物新媒体,30042311,运动文化,8:7,2026-02-19 09:00,7354,530,246,8,8,"传统文化,文化,中国,非遗",,https://i1.hdslb.com/bfs/archive/f83a1f00a4aa6149581d5a49c0a01bcf3a027dbd.jpg
72,外网热评：中国非遗！龙须面惊艳外网！一根面能拉千米，中华绝技太绝了,BV1WyckzjE38,116215473245756,轩宝看油管,387967038,日常,2:4,2026-03-12 17:24,2939,44,3,3,1,"外网热评,文化,中国,外国网友评论,外网评论,评论翻译,外国网友,外国人看中国,外网,娱乐资讯",,https://i1.hdslb.com/bfs/archive/017a6b927ce0726e3ae65bc65666be3e5caa1f74.jpg
73,为什么都以为排箫是国外乐器？&quot;非遗 &quot;传统文化 &quot;乐器 &quot;,BV1NRwezhEmx,116249379996802,非遗传统手艺哥,3632303318239519,田园美食,2:30,2026-03-18 17:09,1191,60,5,2,4,"制作,文化,寻找100位非遗手艺人,B站好片有奖种草,非物质文化遗产",-,https://i0.hdslb.com/bfs/archive/d15c455bdb33bbcad358aa0ddb7cd3f5b788fdca.jpg
74,千年龙韵-非遗六坊云龙舞-采访市级传承人,BV1WswBzqEew,116251108050595,知行潮汐队,629256315,搞笑,9:56,2026-03-19 00:30,8,4,2,0,0,"优秀传统文化,传承,北京交通大学,传统文化,文化,中国",-,https://i0.hdslb.com/bfs/archive/245c8af03fd420f353ee7c9caff2aa96e6173561.jpg
75,毛晓彤丨福州非遗嘉年华伞舞 拍的最好的版本,BV1NnPtz7EAo,116183730752186,毛曉彤,257442725,国风舞蹈,1:4,2026-03-07 09:00,144047,14678,3257,85,336,"毛晓彤,新春舞蹈集结计划,非遗嘉年华,古典舞,国风舞蹈,仙女,演员,中国风,古风,现场",,https://i0.hdslb.com/bfs/archive/fc4823fb65786cf1aa38b96f3f9a5b8b111df2cd.jpg
76,手工斫琴是智商税？别用工业标准衡量千年文化,BV1cTwqzcEod,116249749097395,古琴拓荒人卢玉平,3546840091855248,手工,1:46,2026-03-18 18:49,495,9,5,1,1,"匠人,非物质文化遗产,古琴,传统文化,手工,原创",,https://i1.hdslb.com/bfs/archive/783cb05ded88b46fe0659af025ffaab31c3040d5.jpg
77,从1块泥巴到上亿天价！非遗汝瓷如何点土成“金”？,BV1rsjmzbEWd,114574342757495,影视飓风,946974,手工,12:5,2025-05-28 17:00,2948281,168993,39702,32794,3557,"碧蓝航线,汝瓷,4K,拍摄,匠人,制作,非遗,碧蓝航线8周年,非物质文化遗产",这些看似不起眼的泥巴和石头，经过巧妙的加工，竟然可能卖出上亿元的天价。作为瓷器的一种，为什么“它”这么值钱？这次我们和@碧蓝航线  一拍即合，前往河南汝州，想带你一起来看看这门传承了千年的中国手艺——汝瓷。如果你喜欢这期视频，请多多支持我们，并把视频分享给你的朋友们一起看看!,https://i0.hdslb.com/bfs/archive/de6649ac16c7c62fab9774d44b60a36965bf8592.jpg
78,【超燃】中国非遗超燃混剪,BV1a1keYbEF2,113695099261522,万川嘉心,1970823994,影视剪辑,5:25,2024-12-22 14:44,43569,522,935,1,71,"非遗文化分享官,非遗,传统文化,中国,人文历史档案馆2.0",-,https://i0.hdslb.com/bfs/archive/8ee2d7ef1efc6aa7d7727e5abbe06bb3a52eb859.jpg
79,开者即死，这四个字震慑了盗墓贼整整1400年,BV1W1ckz1EYk,116215389363710,江寻千,1895195099,手工,7:22,2026-03-12 17:11,1689695,71807,35514,702,773,"文化,闹蛾扑花钗,寻找100位非遗手艺人,非遗,花丝镶嵌,手工艺",,https://i2.hdslb.com/bfs/archive/2bdc919399b36b6c49fcc199af199f86ff1e8252.jpg
80,笑不中了！贾旭明老师号都没了，圆桌也没整清楚，又跑到非遗相声大会说相声了哈哈哈哈哈哈，网友：“相声这个行业危险系数这么高吗”哈哈哈哈或许是贾老师危险系数高？,BV1K8NMzYEmj,116192387795647,又一次嗑到了,3546939108886611,娱乐粉丝创作,22:12,2026-03-08 15:37,163502,3921,1214,998,330,"相声,爆笑,搞笑,贾局,段子,贾旭明,讽刺,小品,最新",-,https://i0.hdslb.com/bfs/archive/23c1efe6437884d6ea193d2b052293322e74de66.jpg
81,这个杯子浑身是孔，却滴水不漏,BV1jm84zcExE,114919047503711,江寻千,1895195099,影视剪辑,8:57,2025-07-26 18:28,8061672,297315,157059,4390,3837,"瓷器,传统文化,陶瓷,玲珑瓷,手工,非遗,寻找100位非遗手艺人",,https://i1.hdslb.com/bfs/archive/d3717a4ab06941d7e11769fe1a7e10133677d782.jpg
82,"贾旭明郑健相声《贾诗人》高清字幕版,贾旭明非遗相声春晚作品，搞笑不断！",BV1yBPoztEG3,116201934098540,相声茶馆,25375697,搞笑,22:12,2026-03-10 11:05,12543,150,72,19,16,"非遗相声,贾旭明相声,郑健,搞笑相声,非遗,相声小品,贾旭明,相声,春晚,搞笑","贾旭明郑健相声《贾诗人》高清字幕版,贾旭明非遗相声春晚作品，搞笑不断！",https://i1.hdslb.com/bfs/archive/32b9839ce3dd1a1fac4cbb5be6083dddea99bffa.jpg
83,【央视】综合频道CCTV-1《非遗里的中国》（第一季）,BV1AN411M7VY,493763285,八神逸枫,10289419,综艺,1086:50,2023-11-25 18:26,333807,3674,14406,1972,114,"非遗,人文,文化","https://tv.cctv.com/2022/12/30/VIDAIxSnFuJtsqzH4HZK9Yc4221230.shtml
《非遗里的中国》通过非遗创新秀演、沉浸体验、还原绝技等全新的方式来打开非遗，多维度呈现非遗的创新成果、历史底蕴、中国智慧、东方美学。节目展现非遗在新时代迸发出的焕新力量，呈现非遗时光流变中的一脉相承与继往开来。",https://i0.hdslb.com/bfs/archive/8268536bcc5c0b6c21c2dc540a25c7aad0559223.png
84,东巴纸,BV1ozw4ztEqm,116228106551729,归乡人山白,3494349557992101,手工,8:10,2026-03-14 23:02,677305,98023,9908,1849,1113,"寻找100位非遗手艺人,东巴纸,纳西族,手工纸,手工艺,手工,原创",纸寿千年，纳西族手工造纸。,https://i1.hdslb.com/bfs/archive/62ed064b30e48ab8740683535ec2a4640da5791a.jpg
85,中国的42项世界非遗项目 你都知道吗？,BV1NK411G7rv,500654333,中新视频,104092224,社会,4:38,2020-12-19 15:11,28939,680,801,21,38,"世界非遗项目,中国",12月17日晚，中国单独申报的“太极拳”、与马来西亚联合申报的“送王船——有关人与海洋可持续联系的仪式及相关实践”两个项目，经联合国教科文组织保护非物质文化遗产政府间委员会评审通过，列入联合国教科文组织人类非物质文化遗产代表作名录。那么，你知道中国的世界非物质文化遗产项目有多少个？有哪些？快跟我一起增长知识吧！,https://i2.hdslb.com/bfs/archive/f2e9d4d1134718bada898f5f9cce68245e4c7592.jpg
86,【大学生纪录短片/非遗/剪纸/原创】纸下的时间旅行者【高清1080P】万物理论拯救传统文化,BV1xs411y7CG,5301655,暗海见雪生,25005818,小剧场,15:39,2016-07-12 14:20,390083,7508,12177,347,198,"传统文化,传承,纪录片,冯骥才,万物理论",以乡村七十多岁民间剪纸艺人几十年扎根于民间文化为起点，伴随着生活在城市却致力于剪纸的保护与创新的艺术家郭梅花的故事进行交叉叙事，串起剪纸的历史与发展，民俗与文化。,https://i1.hdslb.com/bfs/archive/36284d6e91d13a830b61de8ac73cc367a4f1f2d7.jpg
87,非遗群像MVP结算画面,BV1JwWyzPE74,115387786207195,Locus建鹏,448415359,运动综合,0:33,2025-10-17 13:15,3426803,947394,222098,100260,8884,"逆水寒手游,逆水寒非遗计划,逆水寒次元破壁",-,https://i2.hdslb.com/bfs/archive/b1acff3579f22a0752d4961c7d319667c1866b16.jpg
88,谁还不是个rapper！一首歌串起中国43项世界级非遗,BV1FV4y1y78y,870118526,央视新闻,456664753,人文历史,3:13,2023-06-22 09:56,353154,46508,9405,272,783,"非遗,说唱",目前，中国43个项目列入联合国教科文组织，非物质文化遗产名录、名册数量居世界第一。端午节到来之际，央视新闻推出原创音乐MV《非常·非遗》，用一首歌曲串联起这43项世界级非遗项目，以音乐和视觉符号呈现中国式浪漫，彰显古老东方的历史文明之美。,https://i0.hdslb.com/bfs/archive/4b2558b64cc8011d043597b24c184eb78ec51587.jpg
89,网红想火想疯了？魔改中国非遗“黄梅戏”，惨遭央视发文“怒”批,BV1oq4y1N7ug,547995107,下饭音乐,11173348,乐评盘点,4:29,2021-09-14 17:10,3642675,192762,15640,47189,12344,"音乐分享官,乐评盘点,周杰伦,小姐姐,漫步人生路,青花瓷,网红翻唱,粤语歌,黄梅戏",要说现在刷手机，新歌没几首，老歌倒是不断被 魔改翻唱~甚至为了流量，网红们跟风拍摄 根本不管歌曲内容~今天饭饭 就带来的几首 被网红玩“变味”的歌，坚持听完的 可都是我的死忠粉呐,https://i2.hdslb.com/bfs/archive/65a0a945e8e351ea4548859398048a400a3bc155.jpg
90,鬼步、僵尸摔、滚灯……科普19种技惊四座的非遗绝技,BV1kXpWzyE6u,115217564570288,全球顶尖投影,3546744608524364,出行,2:45,2025-09-17 11:45,423693,37473,8866,256,555,"绝技,人文历史档案馆,传统文化,变脸,杂技,戏曲,鬼步,非遗,科普,京剧",,https://i1.hdslb.com/bfs/archive/c60f3ec3e64997d87ead2e58699a3eb49cb40e99.jpg
91,以朱为信，以泥承魂，印泥，中华文房瑰宝,BV1VanmzbEbt,115293598781324,I彭传明,589188442,手工,22:26,2025-09-30 22:15,335678,28987,2825,1570,500,"中国,原创,文化",-,https://i2.hdslb.com/bfs/archive/9f1331aecca0077f75a416b03dd6219d90c378e5.jpg
92,这不是迷信，这是中国傩戏。,BV1Xf421v74t,1206450288,唱饭的王小潮,1107899745,人文历史,2:45,2024-08-10 09:58,4003237,421831,190004,3655,4475,"非遗文化,文化,正能量,寻找非遗文化,行走的人文,中国",-,https://i1.hdslb.com/bfs/archive/49daebd4631fa0c00276d9350417f86fbd6af584.jpg
93,【《浮光》遇到中国非遗】中国的43个世界级非遗，你知道几个？,BV1L1421275U,1555202564,非遗正年轻,156651846,人文历史,4:21,2024-05-27 21:37,70621,1491,2589,17,61,"浮光,周深,世界级非遗,中国,传统文化,历史,非遗,文化",-,https://i0.hdslb.com/bfs/archive/a11d2fe91f98de969d84d93481c666bc65adbd4f.jpg
94,老祖宗：不管了！好歹非遗传下来了！,BV1sjwez4ENA,116249463881838,料理小咪,18237423,颜值·网红舞,0:36,2026-03-18 17:29,13192,2075,651,122,67,"川剧摇,四时少女,火苗dj,葛仙村,古风","我们来葛仙村玩啦！好好玩！下次还来～
从左到右出境：
玉玲珑：小水泡汤
汉服：西海岸红杉
胡桃：料理小咪
大乔：十元酱少女",https://i2.hdslb.com/bfs/archive/59308324aa32767546f15be431472416fb28151a.jpg
95,【非遗美学创业】每周工作一小时，每年躺平收入超七位数,BV1Hm421g7hX,1606157528,村姑欣陶,384402877,财经商业,42:49,2024-07-05 19:40,18723,905,830,59,34,"青年用「财」图鉴,共同富裕,投资,找工作,乡村振兴,非遗美学,创业,李子柒,融资,创业合伙人",作为斜杠财经博主，想做些差异化的内容，可以和大家共同富裕，比如好的合伙创业、商务合作和工作的机会。而且不是在项目极早期，充满高度不确定性的时候介绍给大家，希望是有数据支持的商业模式小DEMO已经跑通的时候，在项目充满生命力蓬勃发展的时候，介绍给大家。作为前投资人，未来也将继续做投资的创业财经博主，将以投资人的角度和创始人对话，探讨创业过程中的挑战和应对方案，希望想创业或者正在创业ing的朋友们有借鉴意义。如果有想和我一起录制视频的创业者，希望自己的项目让更多投资人、创业者、合作伙伴或者未来团队成员看到，欢,https://i0.hdslb.com/bfs/archive/f8cb19204ce43fe8528dd2d144d8ba0dc070a9ca.jpg
96,手写代码的程序员成非遗了❓「古法编程」突然火了❗️,BV1UzwDz1E6w,116243071835663,智冷Shaw,480800563,计算机技术,0:51,2026-03-17 14:22,12243,121,75,86,63,"万万没想到,AI,人工智能,编程,程序员,学习,高能,科普,分享我的专业知识,代码",“古法编程”这个词一出来，我先笑了。以前程序员不用AI写代码叫基本操作，现在居然成了“古法手艺”。照这趋势下去，未来程序员怕不是要进博物馆现场表演纯手搓代码了。你觉得，不靠AI写代码的人，以后会不会真成“非遗传承人”？关注智冷Shaw，AI时代走前头！,https://i1.hdslb.com/bfs/archive/dedb798ce2c9122234b899598e2262af3e525da5.jpg
